moseq_cluster,category,name,note
0,idle,head_low,
1,idle,head_down,
2,idle,sniff_floor,
3,idle,step_to_stop,
4,turn,turn_left,
5,rear,enter_rear,
6,turn,turn_right,
7,rear,extend_rear,
8,rear,extend_rear_2,
9,idle,still,
10,idle,motionless_rear,
11,locomotion,start_moving,
12,rear,leave_rear_turn_right,
13,idle,take_a_step,
14,groom,curve_spine,
15,rear,leave_rear_turn_left,
16,locomotion,brief_walk,
17,locomotion,slow_locomotion,
18,rear,leave_rear_turn_right_2,
19,rear,high_rear,
20,rear,enter_wall_rear,
21,rear,leave_rear_turn_left_2,
22,locomotion,stopping,
23,idle,scrunch_idle,
24,rear,end_and_enter_rear,
25,rear,mid_rear,
26,idle,still_2,possible noise
27,locomotion,stop_rear_start_walking,
28,rear,mid_rear_2,
29,rear,mid_rear_3,
30,rear,mid_rear_4,
31,groom,groom_1,
32,locomotion,slow_locomotion_2,
33,jump,jump_1,
34,idle,very_slow_locomotion,
35,groom,groom_2,
36,groom,groom_3,
37,groom,groom_4,
38,locomotion,brief_fast,
39,rear,paused_in_rear,
40,groom,groom_5,
41,jump,jump_2,
42,groom,groom_6,
43,locomotion,very_fast,
44,groom,groom_7,
45,groom,idle_enter_groom,
46,groom,groom_9,
47,groom,groom_10,
48,groom,groom_11,
49,groom,groom_12,
