cluster,x,y,embedding_method
0,4.6885357,6.217052,UMAP
1,3.6440182,5.9958153,UMAP
2,0.47353363,5.5615077,UMAP
3,3.3951156,2.6373613,UMAP
4,4.50241,8.812442,UMAP
5,3.1419358,2.7772353,UMAP
6,-0.7068545,6.2794604,UMAP
7,3.231831,7.792489,UMAP
8,4.9543104,4.477504,UMAP
9,5.754694,8.934532,UMAP
10,5.025233,6.6024065,UMAP
11,5.256495,6.7789493,UMAP
12,3.3892431,4.933984,UMAP
13,4.6724286,2.3100386,UMAP
14,2.7771516,3.897912,UMAP
15,0.3765902,5.958698,UMAP
16,5.1993136,4.203325,UMAP
17,5.3360896,5.258219,UMAP
18,1.9474295,5.336784,UMAP
19,4.333366,4.1820164,UMAP
20,2.0569246,7.1833143,UMAP
21,4.625084,3.3826647,UMAP
22,6.2498527,8.095687,UMAP
23,-0.9735001,6.109501,UMAP
24,4.0594234,8.542299,UMAP
25,2.0487945,4.089464,UMAP
26,3.5152245,4.143355,UMAP
27,6.1922355,7.1445527,UMAP
28,3.379543,2.9000347,UMAP
29,4.451961,9.157907,UMAP
30,6.0271163,6.5219502,UMAP
31,4.807065,8.24046,UMAP
32,1.9128472,4.006638,UMAP
33,4.4196243,4.997754,UMAP
34,3.7638369,2.567071,UMAP
35,3.4515889,5.0613494,UMAP
36,5.510191,7.905664,UMAP
37,0.18644886,5.7192826,UMAP
38,5.9812665,5.7264543,UMAP
39,1.3997287,5.6621447,UMAP
40,2.6109664,2.48116,UMAP
41,-0.6212938,5.745377,UMAP
42,2.334059,4.38585,UMAP
43,-0.86064327,6.2750483,UMAP
44,1.7087497,6.08711,UMAP
45,2.6851852,3.3289766,UMAP
46,2.875494,7.570391,UMAP
47,4.5296483,8.7725935,UMAP
48,5.6257443,3.9521174,UMAP
49,3.3455472,7.6706004,UMAP
50,4.2766166,2.0549357,UMAP
51,5.303525,3.7732089,UMAP
52,4.7668414,3.429132,UMAP
53,5.0732155,3.5449274,UMAP
54,4.3438697,4.719998,UMAP
55,2.981519,2.0661066,UMAP
56,3.9517221,3.2970314,UMAP
57,3.5363207,8.888975,UMAP
58,-0.20245633,5.7229853,UMAP
59,2.0714848,5.0263786,UMAP
60,5.7182813,6.799758,UMAP
61,3.6091568,6.733155,UMAP
62,3.1202693,5.650205,UMAP
63,1.23233,5.0171695,UMAP
64,2.1583843,7.44661,UMAP
65,5.666546,8.537448,UMAP
66,4.767073,2.8377247,UMAP
67,4.5881286,8.080409,UMAP
68,4.2576976,7.100755,UMAP
69,4.7728033,2.6200292,UMAP
70,4.4860644,7.838067,UMAP
71,3.6934936,6.347931,UMAP
72,2.508454,2.9587078,UMAP
73,0.81052625,5.278912,UMAP
74,4.3676844,2.5259883,UMAP
75,3.976812,1.8313359,UMAP
76,1.8183429,5.177353,UMAP
77,-0.043184165,5.5166335,UMAP
78,3.5200438,1.8667525,UMAP
79,3.9839299,4.4175515,UMAP
80,2.1190872,7.298707,UMAP
81,3.1970758,7.1580505,UMAP
82,5.51607,4.9727745,UMAP
83,5.583662,6.0464735,UMAP
84,5.2204685,4.3149996,UMAP
85,0.96142507,5.7196827,UMAP
86,3.5756598,1.8584632,UMAP
87,1.2914679,4.912039,UMAP
88,4.8150663,8.22621,UMAP
89,5.0874324,6.894824,UMAP
90,2.1071436,5.197593,UMAP
91,5.373923,8.648297,UMAP
92,5.8583937,7.5565276,UMAP
93,5.9680915,8.783088,UMAP
94,5.5518837,6.8677278,UMAP
95,2.740117,2.7541907,UMAP
96,4.2244873,4.299921,UMAP
97,4.1298985,7.044492,UMAP
98,5.642704,4.1672297,UMAP
99,-0.5384249,6.090334,UMAP
100,1.6935734,6.4988594,UMAP
101,3.621106,2.6343982,UMAP
102,4.421938,4.039735,UMAP
103,4.425964,3.4679253,UMAP
104,1.5379939,5.048683,UMAP
105,3.8565974,6.9862423,UMAP
106,6.2489104,8.696079,UMAP
107,0.018573584,6.175654,UMAP
108,2.2122798,5.8435674,UMAP
109,5.482708,3.3516514,UMAP
110,3.6463683,4.11105,UMAP
111,3.1367607,5.571958,UMAP
112,-0.68746334,6.0069246,UMAP
113,5.061333,6.24084,UMAP
114,4.923474,5.586539,UMAP
115,2.8707097,8.492187,UMAP
116,5.7594957,4.4840264,UMAP
117,2.6277516,7.337092,UMAP
118,3.9180298,3.9598458,UMAP
119,4.9301887,3.0108545,UMAP
120,1.9312215,4.073402,UMAP
121,5.371975,4.678139,UMAP
122,3.4330294,8.537369,UMAP
123,2.8523421,5.551662,UMAP
124,4.031606,8.510475,UMAP
125,3.9239182,8.2735615,UMAP
126,0.5252429,5.580646,UMAP
127,5.1791635,9.067521,UMAP
128,5.578605,6.1991725,UMAP
129,5.8502927,8.969247,UMAP
130,-0.9977925,5.9491763,UMAP
131,4.901638,6.7626715,UMAP
132,3.5871816,4.3206277,UMAP
133,4.8152924,3.9955297,UMAP
134,4.418659,9.098023,UMAP
135,0.17091434,6.072884,UMAP
136,6.1023383,7.101003,UMAP
137,5.8143377,6.633614,UMAP
138,4.322403,3.5342891,UMAP
139,6.006546,7.422486,UMAP
140,2.9791744,4.442796,UMAP
141,1.3000005,6.2896285,UMAP
142,5.577566,5.2692842,UMAP
143,3.6456356,8.864764,UMAP
144,3.6092956,2.6813905,UMAP
145,0.57541996,5.073613,UMAP
146,5.7772965,5.222931,UMAP
147,1.1107382,4.8852453,UMAP
148,3.7181046,2.332495,UMAP
149,4.241297,7.3021636,UMAP
150,-0.7863111,6.3870344,UMAP
151,3.578479,6.0062566,UMAP
152,2.8887126,8.397441,UMAP
153,2.5505984,2.9981241,UMAP
154,2.1327903,4.274473,UMAP
155,3.0804782,4.2776613,UMAP
156,3.928014,8.35618,UMAP
157,4.7111144,4.1072364,UMAP
158,4.5150347,4.6161876,UMAP
159,3.0419202,6.921845,UMAP
