global_id,species,source_individual_id,projection_file,n_frames,n_projection_dims,n_projection_rows,n_embedded_rows,fixed_stride_sample_rows,kmeans_sample_rows
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-F-2L-741_proj.npy,432016,100,432016,432007,21601,7032
Mus_caroli__subject__CAROLI-F-L-737,Mus_caroli,CAROLI-F-L-737,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-F-L-737_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-F-L-741,Mus_caroli,CAROLI-F-L-741,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-F-L-741_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-F-LR-741,Mus_caroli,CAROLI-F-LR-741,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-F-LR-741_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-F-N-740,Mus_caroli,CAROLI-F-N-740,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-F-N-740_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-F-N-741,Mus_caroli,CAROLI-F-N-741,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-F-N-741_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-F-R-737,Mus_caroli,CAROLI-F-R-737,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-F-R-737_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-F-R-741,Mus_caroli,CAROLI-F-R-741,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-F-R-741_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-M-L-734,Mus_caroli,CAROLI-M-L-734,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-M-L-734_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-M-L-735,Mus_caroli,CAROLI-M-L-735,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-M-L-735_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-M-L-738,Mus_caroli,CAROLI-M-L-738,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-M-L-738_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-M-LR-734,Mus_caroli,CAROLI-M-LR-734,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-M-LR-734_proj.npy,432016,100,432016,432007,21601,7032
Mus_caroli__subject__CAROLI-M-N-739,Mus_caroli,CAROLI-M-N-739,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-M-N-739_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-M-R-734,Mus_caroli,CAROLI-M-R-734,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-M-R-734_proj.npy,648024,100,648024,648015,32401,10549
Mus_caroli__subject__CAROLI-M-R-738,Mus_caroli,CAROLI-M-R-738,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_caroli__subject__CAROLI-M-R-738_proj.npy,648024,100,648024,648015,32401,10548
Mus_musculus__subject__40256.0,Mus_musculus,40256.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40256.0_proj.npy,647985,100,647985,647976,32399,1142
Mus_musculus__subject__40257.0,Mus_musculus,40257.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40257.0_proj.npy,647985,100,647985,647976,32399,1142
Mus_musculus__subject__40258.0,Mus_musculus,40258.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40258.0_proj.npy,431990,100,431990,431981,21600,762
Mus_musculus__subject__40259.0,Mus_musculus,40259.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40259.0_proj.npy,431990,100,431990,431981,21600,762
Mus_musculus__subject__40260.0,Mus_musculus,40260.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40260.0_proj.npy,431990,100,431990,431981,21600,762
Mus_musculus__subject__40261.0,Mus_musculus,40261.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40261.0_proj.npy,647985,100,647985,647976,32399,1142
Mus_musculus__subject__40262.0,Mus_musculus,40262.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40262.0_proj.npy,647985,100,647985,647976,32399,1142
Mus_musculus__subject__40263.0,Mus_musculus,40263.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40263.0_proj.npy,431990,100,431990,431981,21600,762
Mus_musculus__subject__40264.0,Mus_musculus,40264.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40264.0_proj.npy,647985,100,647985,647976,32399,1142
Mus_musculus__subject__40265.0,Mus_musculus,40265.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40265.0_proj.npy,215995,100,215995,215986,10800,381
Mus_musculus__subject__40266.0,Mus_musculus,40266.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40266.0_proj.npy,647985,100,647985,647976,32399,1142
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40267.0_proj.npy,647985,100,647985,647976,32399,1142
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40268.0_proj.npy,647985,100,647985,647976,32399,1142
Mus_musculus__subject__40269.0,Mus_musculus,40269.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40269.0_proj.npy,647985,100,647985,647976,32399,1142
Mus_musculus__subject__40270.0,Mus_musculus,40270.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40270.0_proj.npy,431990,100,431990,431981,21600,762
Mus_musculus__subject__40271.0,Mus_musculus,40271.0,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__40271.0_proj.npy,647985,100,647985,647976,32399,1142
Mus_musculus__subject__CAST-F-L-CM1,Mus_musculus,CAST-F-L-CM1,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-F-L-CM1_proj.npy,1512056,100,1512056,1512047,75603,2666
Mus_musculus__subject__CAST-F-L-CM2,Mus_musculus,CAST-F-L-CM2,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-F-L-CM2_proj.npy,1512056,100,1512056,1512047,75603,2666
Mus_musculus__subject__CAST-F-LR-CM1,Mus_musculus,CAST-F-LR-CM1,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-F-LR-CM1_proj.npy,1728064,100,1728064,1728055,86403,3047
Mus_musculus__subject__CAST-F-LR-CM2,Mus_musculus,CAST-F-LR-CM2,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-F-LR-CM2_proj.npy,1728064,100,1728064,1728055,86403,3047
Mus_musculus__subject__CAST-F-N-CM1,Mus_musculus,CAST-F-N-CM1,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-F-N-CM1_proj.npy,1728064,100,1728064,1728055,86403,3047
Mus_musculus__subject__CAST-F-N-CM2,Mus_musculus,CAST-F-N-CM2,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-F-N-CM2_proj.npy,1512056,100,1512056,1512047,75603,2666
Mus_musculus__subject__CAST-F-R-CM1,Mus_musculus,CAST-F-R-CM1,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-F-R-CM1_proj.npy,1728064,100,1728064,1728055,86403,3047
Mus_musculus__subject__CAST-F-R-CM2,Mus_musculus,CAST-F-R-CM2,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-F-R-CM2_proj.npy,1728064,100,1728064,1728055,86403,3047
Mus_musculus__subject__CAST-M-L-CM3,Mus_musculus,CAST-M-L-CM3,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-M-L-CM3_proj.npy,1728064,100,1728064,1728055,86403,3047
Mus_musculus__subject__CAST-M-L-CM4,Mus_musculus,CAST-M-L-CM4,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-M-L-CM4_proj.npy,1080040,100,1080040,1080031,54002,1904
Mus_musculus__subject__CAST-M-LR-CM3,Mus_musculus,CAST-M-LR-CM3,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-M-LR-CM3_proj.npy,1728064,100,1728064,1728055,86403,3047
Mus_musculus__subject__CAST-M-LR-CM4,Mus_musculus,CAST-M-LR-CM4,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-M-LR-CM4_proj.npy,1512056,100,1512056,1512047,75603,2666
Mus_musculus__subject__CAST-M-N-CM3,Mus_musculus,CAST-M-N-CM3,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-M-N-CM3_proj.npy,1728064,100,1728064,1728055,86403,3047
Mus_musculus__subject__CAST-M-N-CM4,Mus_musculus,CAST-M-N-CM4,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-M-N-CM4_proj.npy,1512056,100,1512056,1512047,75603,2666
Mus_musculus__subject__CAST-M-R-CM3,Mus_musculus,CAST-M-R-CM3,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-M-R-CM3_proj.npy,1512056,100,1512056,1512047,75603,2666
Mus_musculus__subject__CAST-M-R-CM4,Mus_musculus,CAST-M-R-CM4,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__CAST-M-R-CM4_proj.npy,1512056,100,1512056,1512047,75603,2666
Mus_musculus__subject__DO-F-L-143,Mus_musculus,DO-F-L-143,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__DO-F-L-143_proj.npy,648024,100,648024,648015,32401,1143
Mus_musculus__subject__DO-F-L-144,Mus_musculus,DO-F-L-144,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__DO-F-L-144_proj.npy,648024,100,648024,648015,32401,1143
Mus_musculus__subject__DO-F-LR-143,Mus_musculus,DO-F-LR-143,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__DO-F-LR-143_proj.npy,648024,100,648024,648015,32401,1143
Mus_musculus__subject__DO-F-LR-144,Mus_musculus,DO-F-LR-144,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__DO-F-LR-144_proj.npy,648024,100,648024,648015,32401,1143
Mus_musculus__subject__DO-F-N-143,Mus_musculus,DO-F-N-143,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__DO-F-N-143_proj.npy,648024,100,648024,648015,32401,1143
Mus_musculus__subject__DO-F-N-144,Mus_musculus,DO-F-N-144,/Users/meganbishop/slowmodeevo/outputs/multispecies_slow_modes/global_clustering_modes/global_outputs/XY_EvenSampled_SlowModes/projections/Mus_musculus__subject__DO-F-N-144_proj.npy,648024,100,648024,648015,32401,1143
