species,n_individuals,M,held_out_pi_mean_bits,held_out_pi_sem_bits,null_mean_bits,null_sem_bits
Mus_caroli,15,2,0.020998,0.004131,0.000129,0.000013
Mus_caroli,15,3,0.189077,0.006908,0.000263,0.000025
Mus_caroli,15,4,0.197859,0.008590,0.000369,0.000036
Mus_caroli,15,5,0.219650,0.008869,0.000499,0.000050
Mus_caroli,15,6,0.167852,0.019060,0.000558,0.000057
Mus_caroli,15,7,0.146957,0.017515,0.000617,0.000053
Mus_caroli,15,8,0.205007,0.023621,0.000703,0.000064
Mus_musculus,93,2,0.122828,0.016705,0.001085,0.000141
Mus_musculus,93,3,0.297614,0.018375,0.001293,0.000178
Mus_musculus,93,4,0.294527,0.023782,0.002277,0.000302
Mus_musculus,93,5,0.503507,0.023555,0.003561,0.000443
Mus_musculus,93,6,0.467280,0.024725,0.004470,0.000574
Mus_musculus,93,7,0.559163,0.026724,0.005704,0.000678
Mus_musculus,93,8,0.497219,0.030232,0.006066,0.000702
Mus_spretus,16,2,0.494960,0.022250,0.006878,0.001012
Mus_spretus,16,3,0.629336,0.025564,0.009740,0.001436
Mus_spretus,16,4,0.725520,0.034492,0.015433,0.002355
Mus_spretus,16,5,0.575567,0.060569,0.012927,0.001665
Mus_spretus,16,6,0.706385,0.055438,0.020730,0.003016
Mus_spretus,16,7,0.621071,0.058404,0.022961,0.003470
Mus_spretus,16,8,0.675887,0.059577,0.025169,0.003738
Peromyscus_californicus,23,2,0.115643,0.018059,0.000622,0.000105
Peromyscus_californicus,23,3,0.193816,0.026760,0.001063,0.000178
Peromyscus_californicus,23,4,0.269954,0.020503,0.001569,0.000257
Peromyscus_californicus,23,5,0.280644,0.025603,0.002165,0.000353
Peromyscus_californicus,23,6,0.303975,0.027276,0.002720,0.000446
Peromyscus_californicus,23,7,0.385997,0.031067,0.003155,0.000543
Peromyscus_californicus,23,8,0.409719,0.031793,0.003239,0.000571
Peromyscus_gossypinus,20,2,0.098650,0.021945,0.000697,0.000120
Peromyscus_gossypinus,20,3,0.362898,0.039213,0.001802,0.000310
Peromyscus_gossypinus,20,4,0.498615,0.038068,0.002926,0.000537
Peromyscus_gossypinus,20,5,0.525629,0.039569,0.003802,0.000693
Peromyscus_gossypinus,20,6,0.614476,0.042983,0.004939,0.000859
Peromyscus_gossypinus,20,7,0.629542,0.043413,0.005167,0.000897
Peromyscus_gossypinus,20,8,0.695826,0.044343,0.006107,0.001118
Peromyscus_leucopus,14,2,0.234173,0.077245,0.001032,0.000304
Peromyscus_leucopus,14,3,0.505127,0.059587,0.003273,0.000988
Peromyscus_leucopus,14,4,0.690481,0.056176,0.005737,0.001852
Peromyscus_leucopus,14,5,0.690034,0.067310,0.007799,0.002377
Peromyscus_leucopus,14,6,0.673808,0.064539,0.007789,0.002898
Peromyscus_leucopus,14,7,0.719540,0.060035,0.010899,0.003726
Peromyscus_leucopus,14,8,0.597655,0.075383,0.010696,0.003311
Peromyscus_maniculatus,129,2,0.070805,0.017903,0.000490,0.000055
Peromyscus_maniculatus,129,3,0.308987,0.025379,0.001534,0.000228
Peromyscus_maniculatus,129,4,0.396703,0.026608,0.002128,0.000299
Peromyscus_maniculatus,129,5,0.590540,0.029928,0.003519,0.000472
Peromyscus_maniculatus,129,6,0.525642,0.030393,0.004313,0.000681
Peromyscus_maniculatus,129,7,0.589521,0.028874,0.005040,0.000711
Peromyscus_maniculatus,129,8,0.647328,0.029435,0.005831,0.000785
Peromyscus_polionotus,44,2,0.286300,0.019616,0.000968,0.000099
Peromyscus_polionotus,44,3,0.349714,0.021251,0.001706,0.000159
Peromyscus_polionotus,44,4,0.493632,0.019608,0.002565,0.000244
Peromyscus_polionotus,44,5,0.555993,0.019059,0.003586,0.000352
Peromyscus_polionotus,44,6,0.489520,0.020605,0.003894,0.000374
Peromyscus_polionotus,44,7,0.303458,0.018863,0.004444,0.000385
Peromyscus_polionotus,44,8,0.602263,0.019528,0.005564,0.000523
