species,aligned_arm,top_labeled_syllables
Mus_caroli,1,11: locomotion: start_moving (2.59%); 11: locomotion: start_moving (2.48%); 11: locomotion: start_moving (2.41%); 11: locomotion: start_moving (2.18%); 11: locomotion: start_moving (2.11%); 11: locomotion: start_moving (2.02%); 11: locomotion: start_moving (1.83%); 11: locomotion: start_moving (1.82%)
Mus_musculus,1,23: idle: scrunch_idle (0.46%); 14: groom: curve_spine (0.45%); 14: groom: curve_spine (0.38%); 14: groom: curve_spine (0.34%); 14: groom: curve_spine (0.29%); 34: idle: very_slow_locomotion (0.25%); 28: rear: mid_rear_2 (0.22%); 14: groom: curve_spine (0.22%)
Mus_spretus,1,61: noise: unnamed_62 (4.01%); 35: groom: groom_2 (1.92%); 23: idle: scrunch_idle (1.77%); 26: idle: still_2 (1.62%); 14: groom: curve_spine (1.62%); 23: idle: scrunch_idle (1.48%); 23: idle: scrunch_idle (1.43%); 23: idle: scrunch_idle (1.36%)
Peromyscus_californicus,1,11: locomotion: start_moving (1.19%); 34: idle: very_slow_locomotion (0.93%); 3: idle: step_to_stop (0.77%); 34: idle: very_slow_locomotion (0.77%); 34: idle: very_slow_locomotion (0.75%); 3: idle: step_to_stop (0.75%); 3: idle: step_to_stop (0.75%); 3: idle: step_to_stop (0.72%)
Peromyscus_gossypinus,1,38: locomotion: brief_fast (1.45%); 26: idle: still_2 (0.85%); 22: locomotion: stopping (0.80%); 26: idle: still_2 (0.72%); 10: idle: motionless_rear (0.72%); 26: idle: still_2 (0.70%); 27: locomotion: stop_rear_start_walking (0.67%); 38: locomotion: brief_fast (0.67%)
Peromyscus_leucopus,1,38: locomotion: brief_fast (2.43%); 38: locomotion: brief_fast (1.56%); 27: locomotion: stop_rear_start_walking (1.39%); 38: locomotion: brief_fast (1.20%); 26: idle: still_2 (0.99%); 26: idle: still_2 (0.88%); 26: idle: still_2 (0.82%); 27: locomotion: stop_rear_start_walking (0.75%)
Peromyscus_maniculatus,1,27: locomotion: stop_rear_start_walking (0.42%); 16: locomotion: brief_walk (0.22%); 33: jump: jump_1 (0.21%); 16: locomotion: brief_walk (0.21%); 33: jump: jump_1 (0.20%); 27: locomotion: stop_rear_start_walking (0.20%); 27: locomotion: stop_rear_start_walking (0.19%); 16: locomotion: brief_walk (0.19%)
Peromyscus_polionotus,1,16: locomotion: brief_walk (0.67%); 16: locomotion: brief_walk (0.44%); 14: groom: curve_spine (0.41%); 29: rear: mid_rear_3 (0.38%); 14: groom: curve_spine (0.37%); 38: locomotion: brief_fast (0.32%); 14: groom: curve_spine (0.30%); 8: rear: extend_rear_2 (0.29%)
Mus_caroli,2,11: locomotion: start_moving (2.34%); 11: locomotion: start_moving (2.28%); 11: locomotion: start_moving (2.27%); 11: locomotion: start_moving (2.26%); 27: locomotion: stop_rear_start_walking (2.25%); 11: locomotion: start_moving (2.10%); 11: locomotion: start_moving (1.99%); 11: locomotion: start_moving (1.88%)
Mus_musculus,2,35: groom: groom_2 (1.37%); 14: groom: curve_spine (0.92%); 14: groom: curve_spine (0.82%); 14: groom: curve_spine (0.69%); 44: groom: groom_7 (0.50%); 23: idle: scrunch_idle (0.46%); 23: idle: scrunch_idle (0.42%); 23: idle: scrunch_idle (0.37%)
Mus_spretus,2,61: noise: unnamed_62 (4.82%); 23: idle: scrunch_idle (2.83%); 35: groom: groom_2 (2.22%); 23: idle: scrunch_idle (2.09%); 14: groom: curve_spine (2.04%); 36: groom: groom_3 (1.94%); 14: groom: curve_spine (1.53%); 23: idle: scrunch_idle (1.38%)
Peromyscus_californicus,2,26: idle: still_2 (2.56%); 35: groom: groom_2 (1.70%); 35: groom: groom_2 (1.61%); 35: groom: groom_2 (1.58%); 26: idle: still_2 (1.27%); 35: groom: groom_2 (1.21%); 37: groom: groom_4 (1.06%); 36: groom: groom_3 (0.93%)
Peromyscus_gossypinus,2,26: idle: still_2 (4.50%); 26: idle: still_2 (2.82%); 26: idle: still_2 (2.34%); 26: idle: still_2 (2.31%); 26: idle: still_2 (2.15%); 26: idle: still_2 (1.95%); 35: groom: groom_2 (1.86%); 26: idle: still_2 (1.78%)
Peromyscus_leucopus,2,26: idle: still_2 (12.22%); 35: groom: groom_2 (10.49%); 26: idle: still_2 (9.27%); 26: idle: still_2 (9.21%); 26: idle: still_2 (6.06%); 26: idle: still_2 (3.47%); 35: groom: groom_2 (1.37%); 23: idle: scrunch_idle (1.25%)
Peromyscus_maniculatus,2,35: groom: groom_2 (2.41%); 26: idle: still_2 (1.93%); 35: groom: groom_2 (1.81%); 35: groom: groom_2 (1.51%); 26: idle: still_2 (1.10%); 26: idle: still_2 (0.99%); 26: idle: still_2 (0.96%); 35: groom: groom_2 (0.86%)
Peromyscus_polionotus,2,36: groom: groom_3 (0.63%); 14: groom: curve_spine (0.60%); 14: groom: curve_spine (0.60%); 35: groom: groom_2 (0.58%); 14: groom: curve_spine (0.49%); 14: groom: curve_spine (0.46%); 14: groom: curve_spine (0.44%); 37: groom: groom_4 (0.42%)
