species,aligned_arm,moseq_cluster,soft_frames
Mus_caroli,1,0,44425.52815296234
Mus_caroli,1,1,124591.8038573097
Mus_caroli,1,2,21016.291778427963
Mus_caroli,1,3,21126.15047011347
Mus_caroli,1,4,51739.00378618978
Mus_caroli,1,5,53783.42494942747
Mus_caroli,1,6,45756.96300837097
Mus_caroli,1,7,10242.183601937417
Mus_caroli,1,8,28604.617305843447
Mus_caroli,1,9,31329.635677174112
Mus_caroli,1,10,5355.810186272178
Mus_caroli,1,11,492767.3680830353
Mus_caroli,1,12,13074.054583899384
Mus_caroli,1,13,74294.43984105483
Mus_caroli,1,14,86485.96488148578
Mus_caroli,1,15,17676.510342538266
Mus_caroli,1,16,3579.325891724355
Mus_caroli,1,17,4258.895500720467
Mus_caroli,1,18,62855.62150414124
Mus_caroli,1,19,31452.836504482413
Mus_caroli,1,20,21573.33808928591
Mus_caroli,1,21,58465.45536939872
Mus_caroli,1,22,44774.626427988485
Mus_caroli,1,23,34663.66690630332
Mus_caroli,1,24,24136.166194362875
Mus_caroli,1,25,5071.019072624744
Mus_caroli,1,26,7434.759773396913
Mus_caroli,1,27,106786.12143173932
Mus_caroli,1,28,59510.42335501639
Mus_caroli,1,29,34450.69699808892
Mus_caroli,1,30,10102.856727638873
Mus_caroli,1,31,17656.767648782894
Mus_caroli,1,32,21697.49510160077
Mus_caroli,1,33,9050.412552646501
Mus_caroli,1,34,8727.415413213197
Mus_caroli,1,35,4327.764482294648
Mus_caroli,1,36,4699.185628261662
Mus_caroli,1,37,7449.313537317545
Mus_caroli,1,38,9918.086675054334
Mus_caroli,1,39,27946.78815382296
Mus_caroli,1,40,7454.798454718696
Mus_caroli,1,41,20878.707186702733
Mus_caroli,1,42,7666.642258250515
Mus_caroli,1,43,10518.800724326558
Mus_caroli,1,44,8557.839155640868
Mus_caroli,1,45,704.1318303980138
Mus_caroli,1,46,2174.5369756232367
Mus_caroli,1,47,2233.5867019372185
Mus_caroli,1,48,2092.4766599147283
Mus_caroli,1,49,336.1689196906874
Mus_caroli,1,51,2.8410709140618127
Mus_caroli,1,52,0.2986943290559772
Mus_caroli,1,56,0.3852800168760491
Mus_caroli,1,62,0.6718797046699837
Mus_caroli,2,0,18521.090032093864
Mus_caroli,2,1,51152.38850997453
Mus_caroli,2,2,8878.045872323317
Mus_caroli,2,3,8648.93797478145
Mus_caroli,2,4,21011.43262091643
Mus_caroli,2,5,22064.384469461987
Mus_caroli,2,6,18730.768528001183
Mus_caroli,2,7,4171.728824330107
Mus_caroli,2,8,11913.983011681321
Mus_caroli,2,9,12803.181012222858
Mus_caroli,2,10,2231.620732271465
Mus_caroli,2,11,201830.78507178446
Mus_caroli,2,12,5442.140006274528
Mus_caroli,2,13,30458.9070122361
Mus_caroli,2,14,35566.90338652152
Mus_caroli,2,15,7495.181317865938
Mus_caroli,2,16,1573.6540126930506
Mus_caroli,2,17,1644.5668967451334
Mus_caroli,2,18,26010.287316018595
Mus_caroli,2,19,13212.42982493883
Mus_caroli,2,20,8896.148529775162
Mus_caroli,2,21,24292.966618591752
Mus_caroli,2,22,18702.03221790393
Mus_caroli,2,23,14608.450051914197
Mus_caroli,2,24,9708.436058581898
Mus_caroli,2,25,2398.2214271097755
Mus_caroli,2,26,3126.073008471799
Mus_caroli,2,27,47086.23170146255
Mus_caroli,2,28,24801.064307969038
Mus_caroli,2,29,14071.319417286611
Mus_caroli,2,30,3979.818107140916
Mus_caroli,2,31,7356.832916268891
Mus_caroli,2,32,8908.479102800315
Mus_caroli,2,33,3373.3836540996867
Mus_caroli,2,34,3588.0808502787386
Mus_caroli,2,35,1663.3348679615835
Mus_caroli,2,36,2067.8632451225317
Mus_caroli,2,37,2589.3934596832883
Mus_caroli,2,38,4165.269634083196
Mus_caroli,2,39,11602.391161734635
Mus_caroli,2,40,3129.2823103684573
Mus_caroli,2,41,8822.842975201527
Mus_caroli,2,42,3168.5402401041665
Mus_caroli,2,43,4184.044389069563
Mus_caroli,2,44,3461.112739847082
Mus_caroli,2,45,374.51043414689906
Mus_caroli,2,46,877.3431309481042
Mus_caroli,2,47,914.552810552462
Mus_caroli,2,48,801.9554040641733
Mus_caroli,2,49,135.92873535541045
Mus_caroli,2,51,1.1013330002793955
Mus_caroli,2,52,0.06703851342566969
Mus_caroli,2,56,0.02744544832987168
Mus_caroli,2,62,0.19990622305855046
Mus_musculus,1,0,733467.2491156035
Mus_musculus,1,1,870384.7929488282
Mus_musculus,1,2,500294.15628570557
Mus_musculus,1,3,670230.8303810154
Mus_musculus,1,4,515910.5450580056
Mus_musculus,1,5,349907.4495207606
Mus_musculus,1,6,423382.9840875555
Mus_musculus,1,7,295730.1200702722
Mus_musculus,1,8,179830.43426601472
Mus_musculus,1,9,546757.4033231577
