individual_id,species,available_sample_rows,species_sample_budget,pca_fit_sample_rows
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,8641,60480,2813
Mus_caroli__subject__CAROLI-F-L-737,Mus_caroli,12961,60480,4220
Mus_caroli__subject__CAROLI-F-L-741,Mus_caroli,12961,60480,4220
Mus_caroli__subject__CAROLI-F-LR-741,Mus_caroli,12961,60480,4220
Mus_caroli__subject__CAROLI-F-N-740,Mus_caroli,12961,60480,4220
Mus_caroli__subject__CAROLI-F-N-741,Mus_caroli,12961,60480,4220
Mus_caroli__subject__CAROLI-F-R-737,Mus_caroli,12961,60480,4220
Mus_caroli__subject__CAROLI-F-R-741,Mus_caroli,12961,60480,4220
Mus_caroli__subject__CAROLI-M-L-734,Mus_caroli,12961,60480,4219
Mus_caroli__subject__CAROLI-M-L-735,Mus_caroli,12961,60480,4219
Mus_caroli__subject__CAROLI-M-L-738,Mus_caroli,12961,60480,4219
Mus_caroli__subject__CAROLI-M-LR-734,Mus_caroli,8641,60480,2813
Mus_caroli__subject__CAROLI-M-N-739,Mus_caroli,12961,60480,4219
Mus_caroli__subject__CAROLI-M-R-734,Mus_caroli,12961,60480,4219
Mus_caroli__subject__CAROLI-M-R-738,Mus_caroli,12961,60480,4219
Mus_musculus__subject__40256.0,Mus_musculus,12960,60480,457
Mus_musculus__subject__40257.0,Mus_musculus,12960,60480,457
Mus_musculus__subject__40258.0,Mus_musculus,8640,60480,305
Mus_musculus__subject__40259.0,Mus_musculus,8640,60480,305
Mus_musculus__subject__40260.0,Mus_musculus,8640,60480,305
Mus_musculus__subject__40261.0,Mus_musculus,12960,60480,457
Mus_musculus__subject__40262.0,Mus_musculus,12960,60480,457
Mus_musculus__subject__40263.0,Mus_musculus,8640,60480,304
Mus_musculus__subject__40264.0,Mus_musculus,12960,60480,457
Mus_musculus__subject__40265.0,Mus_musculus,4320,60480,152
Mus_musculus__subject__40266.0,Mus_musculus,12960,60480,457
Mus_musculus__subject__40267.0,Mus_musculus,12960,60480,457
Mus_musculus__subject__40268.0,Mus_musculus,12960,60480,457
Mus_musculus__subject__40269.0,Mus_musculus,12960,60480,457
Mus_musculus__subject__40270.0,Mus_musculus,8640,60480,304
Mus_musculus__subject__40271.0,Mus_musculus,12960,60480,457
Mus_musculus__subject__CAST-F-L-CM1,Mus_musculus,30242,60480,1066
Mus_musculus__subject__CAST-F-L-CM2,Mus_musculus,30242,60480,1066
Mus_musculus__subject__CAST-F-LR-CM1,Mus_musculus,34562,60480,1219
Mus_musculus__subject__CAST-F-LR-CM2,Mus_musculus,34562,60480,1219
Mus_musculus__subject__CAST-F-N-CM1,Mus_musculus,34562,60480,1219
Mus_musculus__subject__CAST-F-N-CM2,Mus_musculus,30242,60480,1066
Mus_musculus__subject__CAST-F-R-CM1,Mus_musculus,34562,60480,1219
Mus_musculus__subject__CAST-F-R-CM2,Mus_musculus,34562,60480,1219
Mus_musculus__subject__CAST-M-L-CM3,Mus_musculus,34562,60480,1219
Mus_musculus__subject__CAST-M-L-CM4,Mus_musculus,21601,60480,762
Mus_musculus__subject__CAST-M-LR-CM3,Mus_musculus,34562,60480,1219
Mus_musculus__subject__CAST-M-LR-CM4,Mus_musculus,30242,60480,1066
Mus_musculus__subject__CAST-M-N-CM3,Mus_musculus,34562,60480,1219
Mus_musculus__subject__CAST-M-N-CM4,Mus_musculus,30242,60480,1066
Mus_musculus__subject__CAST-M-R-CM3,Mus_musculus,30242,60480,1066
