global_id,species,individual_id,n_raw_frames,n_features,available_sample_rows
Mus_caroli__subject__CAROLI-F-2L-741,Mus_caroli,CAROLI-F-2L-741,432016,300,8641
Mus_caroli__subject__CAROLI-F-L-737,Mus_caroli,CAROLI-F-L-737,648024,300,12961
Mus_caroli__subject__CAROLI-F-L-741,Mus_caroli,CAROLI-F-L-741,648024,300,12961
Mus_caroli__subject__CAROLI-F-LR-741,Mus_caroli,CAROLI-F-LR-741,648024,300,12961
Mus_caroli__subject__CAROLI-F-N-740,Mus_caroli,CAROLI-F-N-740,648024,300,12961
Mus_caroli__subject__CAROLI-F-N-741,Mus_caroli,CAROLI-F-N-741,648024,300,12961
Mus_caroli__subject__CAROLI-F-R-737,Mus_caroli,CAROLI-F-R-737,648024,300,12961
Mus_caroli__subject__CAROLI-F-R-741,Mus_caroli,CAROLI-F-R-741,648024,300,12961
Mus_caroli__subject__CAROLI-M-L-734,Mus_caroli,CAROLI-M-L-734,648024,300,12961
Mus_caroli__subject__CAROLI-M-L-735,Mus_caroli,CAROLI-M-L-735,648024,300,12961
Mus_caroli__subject__CAROLI-M-L-738,Mus_caroli,CAROLI-M-L-738,648024,300,12961
Mus_caroli__subject__CAROLI-M-LR-734,Mus_caroli,CAROLI-M-LR-734,432016,300,8641
Mus_caroli__subject__CAROLI-M-N-739,Mus_caroli,CAROLI-M-N-739,648024,300,12961
Mus_caroli__subject__CAROLI-M-R-734,Mus_caroli,CAROLI-M-R-734,648024,300,12961
Mus_caroli__subject__CAROLI-M-R-738,Mus_caroli,CAROLI-M-R-738,648024,300,12961
Mus_musculus__subject__40256.0,Mus_musculus,40256.0,647985,300,12960
Mus_musculus__subject__40257.0,Mus_musculus,40257.0,647985,300,12960
Mus_musculus__subject__40258.0,Mus_musculus,40258.0,431990,300,8640
Mus_musculus__subject__40259.0,Mus_musculus,40259.0,431990,300,8640
Mus_musculus__subject__40260.0,Mus_musculus,40260.0,431990,300,8640
Mus_musculus__subject__40261.0,Mus_musculus,40261.0,647985,300,12960
Mus_musculus__subject__40262.0,Mus_musculus,40262.0,647985,300,12960
Mus_musculus__subject__40263.0,Mus_musculus,40263.0,431990,300,8640
Mus_musculus__subject__40264.0,Mus_musculus,40264.0,647985,300,12960
Mus_musculus__subject__40265.0,Mus_musculus,40265.0,215995,300,4320
Mus_musculus__subject__40266.0,Mus_musculus,40266.0,647985,300,12960
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,647985,300,12960
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,647985,300,12960
Mus_musculus__subject__40269.0,Mus_musculus,40269.0,647985,300,12960
Mus_musculus__subject__40270.0,Mus_musculus,40270.0,431990,300,8640
Mus_musculus__subject__40271.0,Mus_musculus,40271.0,647985,300,12960
Mus_musculus__subject__CAST-F-L-CM1,Mus_musculus,CAST-F-L-CM1,1512056,300,30242
Mus_musculus__subject__CAST-F-L-CM2,Mus_musculus,CAST-F-L-CM2,1512056,300,30242
Mus_musculus__subject__CAST-F-LR-CM1,Mus_musculus,CAST-F-LR-CM1,1728064,300,34562
Mus_musculus__subject__CAST-F-LR-CM2,Mus_musculus,CAST-F-LR-CM2,1728064,300,34562
Mus_musculus__subject__CAST-F-N-CM1,Mus_musculus,CAST-F-N-CM1,1728064,300,34562
Mus_musculus__subject__CAST-F-N-CM2,Mus_musculus,CAST-F-N-CM2,1512056,300,30242
Mus_musculus__subject__CAST-F-R-CM1,Mus_musculus,CAST-F-R-CM1,1728064,300,34562
Mus_musculus__subject__CAST-F-R-CM2,Mus_musculus,CAST-F-R-CM2,1728064,300,34562
Mus_musculus__subject__CAST-M-L-CM3,Mus_musculus,CAST-M-L-CM3,1728064,300,34562
Mus_musculus__subject__CAST-M-L-CM4,Mus_musculus,CAST-M-L-CM4,1080040,300,21601
Mus_musculus__subject__CAST-M-LR-CM3,Mus_musculus,CAST-M-LR-CM3,1728064,300,34562
Mus_musculus__subject__CAST-M-LR-CM4,Mus_musculus,CAST-M-LR-CM4,1512056,300,30242
Mus_musculus__subject__CAST-M-N-CM3,Mus_musculus,CAST-M-N-CM3,1728064,300,34562
Mus_musculus__subject__CAST-M-N-CM4,Mus_musculus,CAST-M-N-CM4,1512056,300,30242
Mus_musculus__subject__CAST-M-R-CM3,Mus_musculus,CAST-M-R-CM3,1512056,300,30242
Mus_musculus__subject__CAST-M-R-CM4,Mus_musculus,CAST-M-R-CM4,1512056,300,30242
Mus_musculus__subject__DO-F-L-143,Mus_musculus,DO-F-L-143,648024,300,12961
Mus_musculus__subject__DO-F-L-144,Mus_musculus,DO-F-L-144,648024,300,12961
Mus_musculus__subject__DO-F-LR-143,Mus_musculus,DO-F-LR-143,648024,300,12961
Mus_musculus__subject__DO-F-LR-144,Mus_musculus,DO-F-LR-144,648024,300,12961
Mus_musculus__subject__DO-F-N-143,Mus_musculus,DO-F-N-143,648024,300,12961
Mus_musculus__subject__DO-F-N-144,Mus_musculus,DO-F-N-144,648024,300,12961
Mus_musculus__subject__DO-F-R-143,Mus_musculus,DO-F-R-143,648024,300,12961
Mus_musculus__subject__DO-F-R-144,Mus_musculus,DO-F-R-144,648024,300,12961
Mus_musculus__subject__DO-M-2L-142,Mus_musculus,DO-M-2L-142,648024,300,12961
Mus_musculus__subject__DO-M-2R-142,Mus_musculus,DO-M-2R-142,648024,300,12961
Mus_musculus__subject__DO-M-L-141,Mus_musculus,DO-M-L-141,648024,300,12961
Mus_musculus__subject__DO-M-L-142,Mus_musculus,DO-M-L-142,648024,300,12961
Mus_musculus__subject__DO-M-LR-141,Mus_musculus,DO-M-LR-141,648024,300,12961
Mus_musculus__subject__DO-M-R-141,Mus_musculus,DO-M-R-141,432016,300,8641
Mus_musculus__subject__DO-M-R-142,Mus_musculus,DO-M-R-142,648024,300,12961
Mus_musculus__subject__F1-F-L-159,Mus_musculus,F1-F-L-159,432016,300,8641
Mus_musculus__subject__F1-F-R-159,Mus_musculus,F1-F-R-159,648024,300,12961
Mus_musculus__subject__F1-M-L-166,Mus_musculus,F1-M-L-166,432016,300,8641
Mus_musculus__subject__F1-M-R-166,Mus_musculus,F1-M-R-166,432016,300,8641
Mus_musculus__subject__MOLF-F-2L-133,Mus_musculus,MOLF-F-2L-133,1296048,300,25921
Mus_musculus__subject__MOLF-F-L-131,Mus_musculus,MOLF-F-L-131,1080040,300,21601
Mus_musculus__subject__MOLF-F-L-133,Mus_musculus,MOLF-F-L-133,1296048,300,25921
Mus_musculus__subject__MOLF-F-LR-133,Mus_musculus,MOLF-F-LR-133,1728064,300,34562
Mus_musculus__subject__MOLF-F-N-133,Mus_musculus,MOLF-F-N-133,1296048,300,25921
Mus_musculus__subject__MOLF-F-R-131,Mus_musculus,MOLF-F-R-131,1296048,300,25921
Mus_musculus__subject__MOLF-F-R-133,Mus_musculus,MOLF-F-R-133,1296048,300,25921
Mus_musculus__subject__MOLF-M-L-132,Mus_musculus,MOLF-M-L-132,1512056,300,30242
Mus_musculus__subject__MOLF-M-LR-132,Mus_musculus,MOLF-M-LR-132,216008,300,4321
Mus_musculus__subject__MOLF-M-N-132,Mus_musculus,MOLF-M-N-132,1728064,300,34562
Mus_musculus__subject__MOLF-M-R-132,Mus_musculus,MOLF-M-R-132,1512056,300,30242
Mus_musculus__subject__PWK-F-L-833,Mus_musculus,PWK-F-L-833,1296048,300,25921
Mus_musculus__subject__PWK-F-L-834,Mus_musculus,PWK-F-L-834,1296048,300,25921
Mus_musculus__subject__PWK-F-LR-833,Mus_musculus,PWK-F-LR-833,1296048,300,25921
Mus_musculus__subject__PWK-F-LR-834,Mus_musculus,PWK-F-LR-834,1296048,300,25921
Mus_musculus__subject__PWK-F-N-833,Mus_musculus,PWK-F-N-833,1296048,300,25921
Mus_musculus__subject__PWK-F-N-834,Mus_musculus,PWK-F-N-834,1296048,300,25921
Mus_musculus__subject__PWK-F-R-833,Mus_musculus,PWK-F-R-833,1080040,300,21601
Mus_musculus__subject__PWK-F-R-834,Mus_musculus,PWK-F-R-834,1296048,300,25921
Mus_musculus__subject__PWK-M-L-831,Mus_musculus,PWK-M-L-831,1296048,300,25921
Mus_musculus__subject__PWK-M-L-832,Mus_musculus,PWK-M-L-832,1296048,300,25921
Mus_musculus__subject__PWK-M-LR-831,Mus_musculus,PWK-M-LR-831,1296048,300,25921
Mus_musculus__subject__PWK-M-LR-832,Mus_musculus,PWK-M-LR-832,864032,300,17281
Mus_musculus__subject__PWK-M-N-831,Mus_musculus,PWK-M-N-831,1296048,300,25921
Mus_musculus__subject__PWK-M-N-832,Mus_musculus,PWK-M-N-832,1296048,300,25921
Mus_musculus__subject__PWK-M-R-831,Mus_musculus,PWK-M-R-831,1296048,300,25921
Mus_musculus__subject__PWK-M-R-832,Mus_musculus,PWK-M-R-832,1296048,300,25921
Mus_musculus__subject__WSB-F-L-235,Mus_musculus,WSB-F-L-235,216008,300,4321
Mus_musculus__subject__WSB-F-L-236,Mus_musculus,WSB-F-L-236,216008,300,4321
Mus_musculus__subject__WSB-F-LR-235,Mus_musculus,WSB-F-LR-235,432016,300,8641
Mus_musculus__subject__WSB-F-LR-236,Mus_musculus,WSB-F-LR-236,432016,300,8641
Mus_musculus__subject__WSB-F-N-235,Mus_musculus,WSB-F-N-235,432016,300,8641
Mus_musculus__subject__WSB-F-R-235,Mus_musculus,WSB-F-R-235,216008,300,4321
Mus_musculus__subject__WSB-F-R-236,Mus_musculus,WSB-F-R-236,216008,300,4321
Mus_musculus__subject__WSB-M-2L-234,Mus_musculus,WSB-M-2L-234,432016,300,8641
Mus_musculus__subject__WSB-M-L-233,Mus_musculus,WSB-M-L-233,432016,300,8641
Mus_musculus__subject__WSB-M-L-234,Mus_musculus,WSB-M-L-234,432016,300,8641
Mus_musculus__subject__WSB-M-LR-233,Mus_musculus,WSB-M-LR-233,432016,300,8641
Mus_musculus__subject__WSB-M-LR-234,Mus_musculus,WSB-M-LR-234,432016,300,8641
Mus_musculus__subject__WSB-M-N-234,Mus_musculus,WSB-M-N-234,432016,300,8641
Mus_musculus__subject__WSB-M-R-233,Mus_musculus,WSB-M-R-233,432016,300,8641
Mus_musculus__subject__WSB-M-R-234,Mus_musculus,WSB-M-R-234,432016,300,8641
Mus_spretus__subject__SPRET-F-L-730,Mus_spretus,SPRET-F-L-730,648024,300,12961
Mus_spretus__subject__SPRET-F-L-732,Mus_spretus,SPRET-F-L-732,648024,300,12961
Mus_spretus__subject__SPRET-F-L-742,Mus_spretus,SPRET-F-L-742,648024,300,12961
Mus_spretus__subject__SPRET-F-LR-730,Mus_spretus,SPRET-F-LR-730,648024,300,12961
Mus_spretus__subject__SPRET-F-N-731,Mus_spretus,SPRET-F-N-731,432016,300,8641
Mus_spretus__subject__SPRET-F-N-744,Mus_spretus,SPRET-F-N-744,648024,300,12961
Mus_spretus__subject__SPRET-F-N-745,Mus_spretus,SPRET-F-N-745,648024,300,12961
Mus_spretus__subject__SPRET-F-R-730,Mus_spretus,SPRET-F-R-730,648024,300,12961
Mus_spretus__subject__SPRET-F-R-732,Mus_spretus,SPRET-F-R-732,648024,300,12961
Mus_spretus__subject__SPRET-F-R-742,Mus_spretus,SPRET-F-R-742,432016,300,8641
Mus_spretus__subject__SPRET-F-R-743,Mus_spretus,SPRET-F-R-743,432016,300,8641
Mus_spretus__subject__SPRET-M-L-728,Mus_spretus,SPRET-M-L-728,648024,300,12961
Mus_spretus__subject__SPRET-M-L-729,Mus_spretus,SPRET-M-L-729,648024,300,12961
Mus_spretus__subject__SPRET-M-L-733,Mus_spretus,SPRET-M-L-733,648024,300,12961
Mus_spretus__subject__SPRET-M-R-729,Mus_spretus,SPRET-M-R-729,648024,300,12961
Mus_spretus__subject__SPRET-M-R-733,Mus_spretus,SPRET-M-R-733,648024,300,12961
Peromyscus_californicus__subject__38824.0,Peromyscus_californicus,38824.0,215995,300,4320
Peromyscus_californicus__subject__38825.0,Peromyscus_californicus,38825.0,215995,300,4320
Peromyscus_californicus__subject__38826.0,Peromyscus_californicus,38826.0,431990,300,8640
Peromyscus_californicus__subject__38827.0,Peromyscus_californicus,38827.0,215995,300,4320
Peromyscus_californicus__subject__39356.0,Peromyscus_californicus,39356.0,215995,300,4320
Peromyscus_californicus__subject__39357.0,Peromyscus_californicus,39357.0,215995,300,4320
