component,explained_variance,explained_variance_ratio,cumulative_variance_ratio
1,18935.75380645817,0.7463835943744457,0.7463835943744457
2,1642.3953101426434,0.06473768763036578,0.8111212820048115
3,1546.4830756847,0.06095715060866088,0.8720784326134724
4,850.0310832649684,0.03350536037498161,0.905583792988454
5,467.70648443104653,0.01843541326793239,0.9240192062563864
6,295.25526596379785,0.011637967462002088,0.9356571737183885
7,219.130819505191,0.008637398350876348,0.9442945720692649
8,193.37757253451096,0.007622292153507367,0.9519168642227723
9,145.17754061827466,0.005722409347768011,0.9576392735705404
10,122.86350027906288,0.004842865084380037,0.9624821386549204
11,110.76035920855257,0.004365800055558872,0.9668479387104792
12,82.42319719389322,0.003248844635930477,0.9700967833464097
13,78.82753158146649,0.0031071156162462256,0.9732038989626559
14,72.20257637219495,0.0028459822105098586,0.9760498811731658
15,61.02452286411341,0.002405381015503494,0.9784552621886693
16,52.27131130927751,0.002060358917656503,0.9805156211063258
17,40.21664898892963,0.0015852047577749552,0.9821008258641007
18,38.314811609263764,0.0015102407381822123,0.9836110666022829
19,36.78562626194808,0.0014499654057259495,0.9850610320080089
20,26.679461307036973,0.0010516144448143752,0.9861126464528233
21,25.911710865597783,0.0010213523100231787,0.9871339987628465
22,20.983978396917134,0.0008271177044362005,0.9879611164672827
23,20.165768523271332,0.0007948666288948545,0.9887559830961775
24,16.393878314536558,0.0006461914295679034,0.9894021745257454
25,15.263319821937289,0.0006016286242007887,0.9900038031499462
26,14.965003960674178,0.0005898700183874553,0.9905936731683337
27,14.405678983011905,0.0005678233129054378,0.9911614964812391
28,12.636722537640678,0.0004980970118834149,0.9916595934931225
29,12.464555544737152,0.0004913107692912586,0.9921509042624137
30,10.070450961915377,0.0003969432356773917,0.9925478474980911
31,9.86144316018244,0.0003887048525686862,0.9929365523506598
32,9.259796453152116,0.0003649899671552686,0.9933015423178151
33,8.238835745231631,0.0003247471370740666,0.9936262894548892
34,8.047031311241797,0.0003171868527399165,0.9939434763076291
35,7.546664080591737,0.00029746406293513957,0.9942409403705643
36,6.9808547329469475,0.0002751617654431989,0.9945161021360075
37,5.769097239362364,0.00022739836912869006,0.9947435005051362
38,5.5754509502013825,0.00021976548507144421,0.9949632659902076
39,5.350622083574542,0.00021090348890761358,0.9951741694791152
40,5.233540868422969,0.00020628854201446402,0.9953804580211296
41,5.077818749821151,0.00020015050094181403,0.9955806085220714
42,4.836762195577082,0.00019064886402557764,0.995771257386097
43,4.745994804766022,0.00018707111940035744,0.9959583285054973
44,4.249069829185263,0.00016748401168870648,0.996125812517186
45,4.208765826511341,0.00016589536374308418,0.9962917078809291
46,3.9776315962210673,0.00015678483139510931,0.9964484927123243
47,3.612094962896072,0.00014237660930660747,0.9965908693216309
48,3.5546267109115304,0.0001401114045031943,0.9967309807261341
