species,ranking,support_cutoff,n_retained_clusters,nn_absorption_sigma,nn_absorption_n_neighbors,status,n_macro_clusters,n_absorbed_clusters,supported_occupancy_fraction,transition_entropy_bits,transition_entropy_weighting,mean_transition_entropy_bits,entropy_delta_from_full_n_bits,entropy_delta_from_previous_n_bits,pi_effective_clusters,max_leading_eigen_delta_from_full_n,max_leading_eigen_delta_from_previous_n,lambda_2_abs,lambda_2_real,lambda_2_imag,lambda_3_abs,lambda_3_real,lambda_3_imag,lambda_4_abs,lambda_4_real,lambda_4_imag,lambda_5_abs,lambda_5_real,lambda_5_imag,lambda_6_abs,lambda_6_real,lambda_6_imag
Mus_caroli,occupancy_descending,1000,1000,2.0,3,ok,1000,0,1.0,7.937940082291655,empirical_macro_occupancy,7.433030432549493,0.0,,695.4931588378599,0.0,,0.7573630552096715,0.7573630552096715,0.0,0.686551268801358,0.686551268801358,0.0,0.5714143332385553,0.5714143332385553,0.0,0.5401687811683883,0.5401687811683883,0.0,0.47229471936505957,0.47229471936505957,0.0
Mus_caroli,occupancy_descending,975,975,2.0,3,ok,975,25,0.9994171104461581,7.939732848375314,empirical_macro_occupancy,7.524308386354075,0.001792766083659636,0.001792766083659636,695.3408178299505,0.0031042987673380873,0.0031042987673380873,0.7567276869510233,0.7567276869510233,0.0,0.6859624371770529,0.6859624371770529,0.0,0.5683100344712172,0.5683100344712172,0.0,0.5396657575649793,0.5396657575649793,0.0,0.47002986805017904,0.47002986805017904,0.0
Mus_caroli,occupancy_descending,950,950,2.0,3,ok,950,50,0.9971894473950791,7.943951621410491,empirical_macro_occupancy,7.596504124121608,0.006011539118836673,0.004218773035177037,694.5007355563987,0.027092070127695544,0.023987771360357457,0.7536859087885112,0.7536859087885112,0.0,0.6838356165973021,0.6838356165973021,0.0,0.5443222631108597,0.5443222631108597,0.0,0.5339411738721634,0.5339411738721634,0.0,0.455629942094497,0.455629942094497,0.0
Mus_caroli,occupancy_descending,925,925,2.0,3,ok,925,75,0.9933994809978974,7.94964222311767,empirical_macro_occupancy,7.655591556809558,0.011702140826015395,0.005690601707178722,692.3583077624078,0.03429842412032302,0.028070816824098177,0.7501748913867241,0.7501748913867241,0.0,0.6805955527554348,0.6805955527554348,0.0,0.5391099067238695,0.5391099067238695,0.0,0.5058703570480653,0.5058703570480653,0.0,0.417224254444372,0.417224254444372,0.0
Mus_caroli,occupancy_descending,900,900,2.0,3,ok,900,100,0.9881555206175916,7.954889983165215,empirical_macro_occupancy,7.6980921315604185,0.016949900873560075,0.005247760047544681,689.402838885208,0.03435336709807091,0.0007924522462803285,0.7499959893228625,0.7499959893228625,0.0,0.6802996038578807,0.6802996038578807,0.0,0.5383174544775892,0.5383174544775892,0.0,0.5058154140703174,0.5058154140703174,0.0,0.4151393887123941,0.4151393887123941,0.0
Mus_caroli,occupancy_descending,875,875,2.0,3,ok,875,125,0.9815024618847401,7.959616795709621,empirical_macro_occupancy,7.731435789915748,0.02167671341796673,0.0047268125444066555,684.512590450195,0.04345373065224695,0.009100363554176039,0.7479155656509529,0.7479155656509529,0.0,0.6784059997571193,0.6784059997571193,0.0,0.5364285946750468,0.5364285946750468,0.0,0.49671505051614134,0.49671505051614134,0.0,0.4054504044338103,0.4054504044338103,0.0
Mus_caroli,occupancy_descending,850,850,2.0,3,ok,850,150,0.973733041536856,7.963214179180419,empirical_macro_occupancy,7.765474630435328,0.02527409688876414,0.0035973834707974106,678.4811676791653,0.05981876770634559,0.01636503705409864,0.7441268017156655,0.7441268017156655,0.0,0.6751943988555457,0.6751943988555457,0.0,0.5329067895672185,0.5329067895672185,0.0,0.4803500134620427,0.4803500134620427,0.0,0.40142844559358126,0.40142844559358126,0.0
Mus_caroli,occupancy_descending,825,825,2.0,3,ok,825,175,0.9649258538432974,7.967148022277932,empirical_macro_occupancy,7.795428510587656,0.029207939986277687,0.003933843097513545,670.7477701873906,0.08712917802896503,0.02731041032261944,0.7409375401472993,0.7409375401472993,0.0,0.670701839836754,0.670701839836754,0.0,0.5279624938637577,0.5279624938637577,0.0,0.45303960313942326,0.45303960313942326,0.0,0.39844621953735615,0.39844621953735615,0.0
Mus_caroli,occupancy_descending,800,800,2.0,3,ok,800,200,0.9550279284197847,7.969846667304333,empirical_macro_occupancy,7.823646216334514,0.03190658501267851,0.0026986450264008255,662.5999094295214,0.11655409701711056,0.029424918988145532,0.7383053200143983,0.7383053200143983,0.0,0.6673351208056808,0.6673351208056808,0.0,0.5247570154821574,0.5247570154821574,0.0,0.42361468415127773,0.42361468415127773,0.0,0.3949690759316655,0.3949690759316655,0.0
Mus_caroli,occupancy_descending,775,775,2.0,3,ok,775,225,0.9441183978525892,7.970524959513804,empirical_macro_occupancy,7.84120455107173,0.03258487722214909,0.0006782922094705768,652.7421287244728,0.10959058335606225,0.006963513661048304,0.7367693083021706,0.7367693083021706,0.0,0.6656182794313281,0.6656182794313281,0.0,0.5205654541002973,0.5205654541002973,0.0,0.43057819781232604,0.43057819781232604,0.0,0.3899963280006827,0.3899963280006827,0.0
Mus_caroli,occupancy_descending,750,750,2.0,3,ok,750,250,0.9320471793862519,7.971276299325876,empirical_macro_occupancy,7.860836681884184,0.03333621703422107,0.0007513398120719827,641.1249335494484,0.11452470212831378,0.004934118772251528,0.7341065275559238,0.7341065275559238,0.0,0.6622170171156502,0.6622170171156502,0.0,0.5167042791997343,0.5167042791997343,0.0,0.4256440790400745,0.4256440790400745,0.0,0.38622373875742805,0.38622373875742805,0.0
