species,ranking,support_cutoff,n_retained_clusters,nn_absorption_sigma,nn_absorption_n_neighbors,status,n_macro_clusters,n_absorbed_clusters,supported_occupancy_fraction
Mus_caroli,occupancy_descending,1000,1000,2.0,3,ok,1000,0,1.0
Mus_caroli,occupancy_descending,975,975,2.0,3,ok,975,25,0.9994171104461581
Mus_caroli,occupancy_descending,950,950,2.0,3,ok,950,50,0.9971894473950791
Mus_caroli,occupancy_descending,925,925,2.0,3,ok,925,75,0.9933994809978974
Mus_caroli,occupancy_descending,900,900,2.0,3,ok,900,100,0.9881555206175916
Mus_caroli,occupancy_descending,875,875,2.0,3,ok,875,125,0.9815024618847401
Mus_caroli,occupancy_descending,850,850,2.0,3,ok,850,150,0.973733041536856
Mus_caroli,occupancy_descending,825,825,2.0,3,ok,825,175,0.9649258538432974
Mus_caroli,occupancy_descending,800,800,2.0,3,ok,800,200,0.9550279284197847
Mus_caroli,occupancy_descending,775,775,2.0,3,ok,775,225,0.9441183978525892
Mus_caroli,occupancy_descending,750,750,2.0,3,ok,750,250,0.9320471793862519
Mus_caroli,occupancy_descending,725,725,2.0,3,ok,725,275,0.9189202137893323
Mus_caroli,occupancy_descending,700,700,2.0,3,ok,700,300,0.9048475330389314
Mus_caroli,occupancy_descending,675,675,2.0,3,ok,675,325,0.8896321131447408
Mus_caroli,occupancy_descending,650,650,2.0,3,ok,650,350,0.8734990782399492
Mus_caroli,occupancy_descending,625,625,2.0,3,ok,625,375,0.8565409111702805
Mus_caroli,occupancy_descending,600,600,2.0,3,ok,600,400,0.8387814055433076
Mus_caroli,occupancy_descending,575,575,2.0,3,ok,575,425,0.8200720935543117
Mus_caroli,occupancy_descending,550,550,2.0,3,ok,550,450,0.8003435323214626
Mus_caroli,occupancy_descending,525,525,2.0,3,ok,525,475,0.7794329348101448
Mus_caroli,occupancy_descending,500,500,2.0,3,ok,500,500,0.7574436578677332
Mus_caroli,occupancy_descending,475,475,2.0,3,ok,475,525,0.7342390766616039
