aligned_arm,species,moseq_cluster,moseq_label,soft_frames,expected_soft_frames,log2_enrichment_vs_arm_expected,standardized_residual,q_value
1,Mus_caroli,11,start_moving,492767.3680830353,56099.423659042826,3.134848867002506,1843.6229765982428,0.0
1,Mus_caroli,27,stop_rear_start_walking,106786.12143173932,34252.65860133999,1.6404362821326044,391.9144431123786,0.0
1,Mus_caroli,21,leave_rear_turn_left_2,58465.45536939872,25784.20865795954,1.181096683731686,203.5268504275054,0.0
1,Mus_caroli,18,leave_rear_turn_right_2,62855.62150414124,28595.646424552735,1.1362462590753661,202.5989001931004,0.0
1,Mus_caroli,1,head_down,124591.8038573097,73979.88379340574,0.7520042258747645,186.07841197153286,0.0
1,Mus_caroli,39,paused_in_rear,27946.78815382296,18473.317286157406,0.5972395308145824,69.7006260914904,0.0
1,Mus_caroli,13,take_a_step,74294.43984105483,49335.93918240527,0.5906152712393024,112.3664841122747,0.0
1,Mus_caroli,29,mid_rear_3,34450.69699808892,24786.25783263655,0.4749926981106689,61.38626009315821,0.0
1,Mus_musculus,43,syllable_43,327415.77094901504,93747.351303991,1.804273980239811,763.1686437292173,0.0
1,Mus_musculus,32,slow_locomotion_2,898856.1453614241,324696.61088652303,1.468997916407638,1007.6128637603944,0.0
1,Mus_musculus,48,groom_11,140543.91672404608,64163.28666566698,1.1312010611013743,301.53653192832724,0.0
1,Mus_musculus,13,take_a_step,881824.3324859899,443807.1472313648,0.9905583848831969,657.4973458695191,0.0
1,Mus_musculus,47,groom_10,128229.019005309,64708.31477084128,0.9866997795159894,249.70961186938433,0.0
1,Mus_musculus,28,mid_rear_2,880205.8165136058,456077.2242233394,0.9485627791974469,628.0270628021933,0.0
1,Mus_musculus,49,syllable_49,18261.678820751527,9665.9625255161,0.9178340936907107,87.42980695636972,0.0
1,Mus_musculus,44,groom_7,181360.18103886803,99272.45744427768,0.8693923251489425,260.53365120383944,0.0
1,Mus_spretus,61,syllable_61,81309.50286929506,2615.441337616048,4.958297657037369,1538.7549703583359,0.0
1,Mus_spretus,49,syllable_49,5625.005985603138,1173.9445007211875,2.260490426151524,129.90917076517633,0.0
1,Mus_spretus,23,scrunch_idle,287388.2325246034,71490.1417712269,2.0071847716720614,807.4687481283657,0.0
1,Mus_spretus,31,groom_1,123381.59897416644,33530.888019286525,1.8795646516923281,490.6807158962508,0.0
1,Mus_spretus,47,groom_10,26770.61346026685,7858.914213213207,1.768248290577935,213.32869596554076,0.0
1,Mus_spretus,35,groom_2,112725.56549905668,40378.993555519526,1.4811378902919545,360.0312617074342,0.0
1,Mus_spretus,14,curve_spine,242292.49686559156,90777.8677660391,1.4163372220950594,502.88024843768704,0.0
1,Mus_spretus,48,groom_11,18534.390531859943,7792.719796969731,1.2500058282944684,121.6822707146913,0.0
1,Peromyscus_californicus,34,very_slow_locomotion,476897.42637922533,85168.14805988681,2.4852931125844075,1342.293325071749,0.0
1,Peromyscus_californicus,33,jump_1,157622.44993145586,52013.45778939877,1.5995161755503138,463.0661496190273,0.0
1,Peromyscus_californicus,3,step_to_stop,445719.9776032454,162124.97225157372,1.4590312978425601,704.3258376536402,0.0
1,Peromyscus_californicus,7,extend_rear,382131.29923803377,147429.42980473442,1.3740438859972663,611.2578589448344,0.0
1,Peromyscus_californicus,10,motionless_rear,288163.2208125308,116888.7015245353,1.3017507259719379,500.9639679263737,0.0
1,Peromyscus_californicus,2,sniff_floor,332366.3689324446,177135.85123731033,0.9079181733993199,368.8279897417425,0.0
1,Peromyscus_californicus,41,jump_2,99933.55836043984,56801.66710727415,0.8150359531681979,180.97473961041516,0.0
1,Peromyscus_californicus,5,enter_rear,157420.98236674207,109662.55717519589,0.5215568272140036,144.21844657905956,0.0
1,Peromyscus_gossypinus,94,94,111.81501810716615,6.981921316164441,4.001346063832851,39.6744522933335,0.0
1,Peromyscus_gossypinus,50,syllable_50,21094.6541675006,1318.0875816056828,4.000359295834211,544.7268238751651,0.0
1,Peromyscus_gossypinus,38,brief_fast,188546.63127948175,44022.778854161515,2.098599253803811,688.8121563258412,0.0
1,Peromyscus_gossypinus,26,still_2,311310.7864433368,100599.64240486066,1.6297303879566587,664.3382935223391,0.0
1,Peromyscus_gossypinus,45,idle_enter_groom,30316.164368471065,12094.072690933666,1.3257870784428731,165.695967792415,0.0
1,Peromyscus_gossypinus,22,stopping,206239.0394537543,86939.36668546381,1.2462359581836218,404.60478661209225,0.0
1,Peromyscus_gossypinus,10,motionless_rear,231818.79637069436,98602.27954678077,1.233304642736601,424.2429132754564,0.0
1,Peromyscus_gossypinus,7,extend_rear,226093.6165831103,124365.12392925832,0.8623382972651206,288.46511892398456,0.0
1,Peromyscus_leucopus,38,brief_fast,159199.97708117627,14782.110466495235,3.4289159629153483,1187.825661561427,0.0
